number of tables: 1
list of table names:
Clinical Benefit
1st table summary (Clinical Benefit):
Clinical Benefit: 門診保障 Clinical Benefit (只供已選擇升級保障之人士投保 Only available for enrolment after selecting Push the Limit Benefit) | 康托索尚健特選服務供應商數目2 No. of Contoso HealthPlus Appointed Service Providers2 | 網絡保障 Network benefit: 約 Around 1,700 | 非網絡保障 Non-Network Benefit: 不適用 N/A\n
Clinical Benefit: a 普通科醫生 General practitioner | 網絡保障 Network benefit: 全數賠償 (包括診症費及最多5日之基本醫療所需西藥費用) Full cover (Includes consultation fee and up to 5 days of basic Medically Necessary Western Medication) | 非網絡保障 Non-Network Benefit: 每次診治 $340(只限診症費) $340 per visit (Consultation fee only)\n
Clinical Benefit: b 專科醫生3 Specialist® 。 須獲註冊醫生書面轉介,皮膚科、家庭醫學科、婦科、眼 科、骨科、耳鼻喉科、小兒外科、兒科及精神科除外 Subject to written referral from a Registered • Medical Practitioner, except for dermatology, family medicine, gynaecology, ophthalmology, orthopaedics, otolaryngology, paediatric surgery, paediatrics and psychiatry | 網絡保障 Network benefit: 全數賠償 (包括診症費及最多5日之基本醫療所需西藥費用) Full cover (Includes consultation fee and up to 5 days of basic Medically Necessary Western Medication) | 非網絡保障 Non-Network Benefit: 每次診治 $640(只限診症費) $640 per visit (Consultation fee only)\n
Clinical Benefit: c 家中應診 Home consultation | 網絡保障 Network benefit: 不適用 N/A | 非網絡保障 Non-Network Benefit: 每次診治 $760(只限診症費) $760 per visit (Consultation fee only)\n
Clinical Benefit: d 物理治療師3 Physiotherapist® 0 須獲註冊醫生書面轉介 Subject to written referral from a Registered Medical • Practitioner | 網絡保障 Network benefit: 全數賠償(只限診療費) Full cover (Treatment fee only) | 非網絡保障 Non-Network Benefit: 每次診治 $630(只限診療費) $630 per visit (Treatment fee only)\n
Clinical Benefit: e 脊醫3 Chiropractor3 須獲註冊醫生書面轉介 · Subject to written referral from a Registered Medical Practitioner | 網絡保障 Network benefit: 不適用 N/A | 非網絡保障 Non-Network Benefit: 每次診治 $630(只限診療費) $630 per visit (Treatment fee only)\n
Clinical Benefit: f 中醫師 Chinese herbalist | 網絡保障 Network benefit: 全數賠償 (包括診症費及最多兩劑之基本中藥費用) Full cover (Includes consultation fee and up to 2 packets of basic Chinese Medicines) | 非網絡保障 Non-Network Benefit: 每次診治 $350 (包括診症費、基本中藥費用、針灸治療及推拿;亦 支付由註冊中醫師處方並由合法來源(不論是否於該 註冊中醫師的門診診所)取得之醫療必需中藥費用) $350 per visit (Includes consultation fee, basic Chinese Medicines, acupuncture and tui na; also payable for Medically Necessary Chinese Medicines prescribed by a Registered Chinese Medicine Practitioner and obtained at a legitimate source (at or outside the treating Registered Chinese Medicine Practitioner's clinic))\n
Clinical Benefit: g 跌打醫師 Chinese bonesetter | 網絡保障 Network benefit: 全數賠償 (包括診症費及最多兩劑之基本中藥費用) Full cover (Includes consultation fee and up to 2 packets of basic Chinese Medicines) | 非網絡保障 Non-Network Benefit: 每次診治 $350 (包括診症費、基本中藥費用、針灸治療及推拿;亦 支付由註冊中醫師處方並由合法來源(不論是否於該 註冊中醫師的門診診所)取得之醫療必需中藥費用) $350 per visit (Includes consultation fee, basic Chinese Medicines, acupuncture and tui na; also payable for Medically Necessary Chinese Medicines prescribed by a Registered Chinese Medicine Practitioner and obtained at a legitimate source (at or outside the treating Registered Chinese Medicine Practitioner's clinic))\n
Clinical Benefit: h 精神科相關治療4 Psychiatric-related treatments | 網絡保障 Network benefit: 不適用 N/A | 非網絡保障 Non-Network Benefit: 每次診治 $550 (包括診症費、醫療所需西藥、中藥、針灸治療、 診斷成像及化驗) $550 per visit (Includes consultation fee, Medically Necessary Western Medication, Chinese Medicines, acupuncture, diagnostic imaging and laboratory tests)\n
Clinical Benefit: i 臨床心理輔導3 Psychological counselling ® 須獲精神科醫生書面轉介 • Subject to written referral from a Psychiatrist • | 網絡保障 Network benefit: 不適用 N/A | 非網絡保障 Non-Network Benefit: 每次診治 $550 per visit\n
Clinical Benefit: j 診斷成像及化驗3 Diagnostic imaging and laboratory tests® 須獲註冊醫生(適用於所有診斷影像及化驗)或註冊中醫師 脊醫3(只適用於X光及化驗)書面轉介 Subject to written referral from a Registered Medical • Practitioner for all diagnostic imaging and laboratory tests, or from a Registered Chinese Medicine Practitioner or Chiropractor® for X-ray only and laboratory tests | 網絡保障 Network benefit: 全數賠償 Full cover | 非網絡保障 Non-Network Benefit: 每保單年度$5,200 per Policy Year\n
Clinical Benefit: k 處方西藥 Prescribed Western Medication | 網絡保障 Network benefit: 每保單年度$5,200(經由註冊醫生處方並由合法來源取得之醫療所需西藥費用) $5,200 per Policy Year (Medically Necessary Western Medication prescribed by a Registered Medical Practitioner and obtained at a legitimate source) | 非網絡保障 Non-Network Benefit: 每保單年度$5,200(經由註冊醫生處方並由合法來源取得之醫療所需西藥費用) $5,200 per Policy Year (Medically Necessary Western Medication prescribed by a Registered Medical Practitioner and obtained at a legitimate source)\n
 
